              N     constr time   deconstr time
1	0.0	0.0
2	0.0	0.0
4	0.0	0.0
8	0.0	0.0
16	0.0	0.0
32	0.0	0.0
64	0.0	0.001
128	0.001	0.0
256	0.001	0.0
512	0.001	0.003
1024	0.008	0.001
2048	0.003	0.003
4096	0.001	0.001
8192	0.002	0.004
16384	0.003	0.003
32768	0.008	0.004
65536	0.012	0.007
131072	0.025	0.022
262144	0.069	0.029
524288	0.142	0.053
1048576	0.215	0.616
2097152	0.533	0.603
4194304	1.262	0.696
8388608	5.172	1.586
16777216	18.156	5.601
